SMILES,Peso Molecular,LogP,QED,Lipinski
CC(C)C,58.078,1.662,0.397,True
NC(N)N,61.064,-1.854,0.287,True
CC(C)N,59.073,0.354,0.428,True
CNC(C)N,74.084,-0.49,0.412,True
CCC(C)CNC(C)C,129.152,2.03,0.612,True
CCC(C)(C)C,86.11,2.443,0.424,True
CCC(C)(C)CCCC(C)C,156.188,4.249,0.558,True
NC(N)O,62.048,-1.82,0.289,True
CC12CC34C5CC1(C)C3C2C54,146.11,2.298,0.492,True
CC(C)C#CC(C)C,110.11,2.302,0.42,True
CC1CCC(C)CC1,112.125,2.833,0.452,True
CCCC(C)CC(C)N,129.152,2.16,0.618,True
CC(N)N,60.069,-0.75,0.361,True
CC1CCC(C)(C)C1,112.125,2.833,0.452,True
CC(C)CCC(C)C,114.141,3.079,0.529,True
NN(N)N(N)N,92.081,-3.0,0.203,True
NN(N)C(N)(N)N,106.097,-3.477,0.134,True
CCCC(C)CC1(C)CC1,140.157,3.613,0.559,True
CCCCC1(C)C=C2CCC21,150.141,3.533,0.54,True
CC(C)CCC(C)(C)C(C)C,156.188,4.105,0.574,True
CCC1CC(C)(C)CN1,127.136,1.784,0.566,True
CC(C)(C)CCN,101.12,1.381,0.53,True
CC1C#C1,52.031,0.64,0.355,True
[nH]1[nH]n2[nH]n12,73.039,-0.977,0.359,True
CCC(C)C,72.094,2.052,0.444,True
NNC(N)N,76.075,-2.349,0.16,True
CC(C)(C)C,72.094,2.052,0.411,True
NN(N)N,62.059,-2.091,0.222,True
CCC1=CCC23CC2C(C)CC13,162.141,3.389,0.518,True
CC(C)CC(C)(C)C,114.141,3.079,0.491,True
CC1NCCN1C,100.1,-0.133,0.456,True
CC(C)NN,74.084,-0.142,0.335,True
CNC(N)N,75.08,-1.593,0.329,True
C1CC1CC1CC2CC2C1,136.125,2.833,0.547,True
NC1CCC1,71.073,0.498,0.442,True
CNC(C)C,73.089,0.614,0.479,True
CC1CC2(N)CC(N)CC12,140.131,0.461,0.513,True
CCCC(C)C,86.11,2.443,0.484,True
CC1CC1(C)C,84.094,2.052,0.421,True
CC(C)C1(C)C(C)CCC1C,154.172,3.715,0.54,True
CCCCC(C)C,100.125,2.833,0.511,True
CC#CC(C)CCC1CC1,136.125,2.836,0.523,True
CN(N)NN,76.075,-1.83,0.254,True
CC(C)CCC(C)(C)C,128.157,3.469,0.534,True
CN(C)N,60.069,-0.578,0.299,True
CCCC(N)NC,102.116,0.291,0.503,True
CC(C)CNC(C)C,115.136,1.64,0.589,True
CNC(N)NN,90.091,-2.089,0.178,True
CCC1(C)CCC(C)CC1,140.157,3.613,0.522,True
CCC(C)N,73.089,0.744,0.487,True
CCC(C)CCC(C)C,128.157,3.469,0.544,True
CCC(C)CNC(C)(C)CC,157.183,2.811,0.647,True
CNCC(C)N,88.1,-0.447,0.48,True
CC1=CC2CC(C1)C(C)(C)C2,150.141,3.389,0.464,True
CCCC1CCCC(C)C1,140.157,3.613,0.549,True
CCCC(C)N,87.105,1.134,0.537,True
CC(C)C1CC2C=CC1C2,136.125,2.855,0.486,True
CCCC(C)CCC(C)C,142.172,3.859,0.547,True
