SMILES,Peso Molecular,LogP,QED,Lipinski
CCC(C)(C)C(C)CCO,144.151,2.441,0.642,True
CCC(CC)C(C)C,114.141,3.079,0.529,True
CCCC(C)(C)C(C)(C)CC,156.188,4.249,0.571,True
CCC1(C)CCCC1C,126.141,3.223,0.506,True
CCC(C)C(C)(C)O,116.12,1.803,0.583,True
CC(C)C(C)C,86.11,2.298,0.459,True
CCC(C)(C)CC,100.125,2.833,0.5,True
CCC(C)(CC)C1(C)CC1C,154.172,3.859,0.579,True
CCC(C)CC,86.11,2.443,0.484,True
CCC(C)C(C)C,100.125,2.689,0.5,True
CCC(C)C(C)(C)CC,128.157,3.469,0.546,True
CCC(C)(C)C1(C)CCO1,142.136,2.602,0.576,True
CCC(C)C(C)(C)C,114.141,3.079,0.491,True
CCC1(C)CCCC1(C)CC,154.172,4.003,0.564,True
CCC1(C(C)C)CC1C,126.141,3.079,0.533,True
CC1OCCC1(C)C,114.104,1.821,0.466,True
CCC(C)(C)C(C)(C)CC,142.172,3.859,0.561,True
CCCC(C)C(C)(C)CC,142.172,3.859,0.559,True
CCC1(C)OC=CC1CCO,156.115,1.698,0.674,True
CCC(C)(C)C(C)(CC)CCO,172.183,3.221,0.675,True
C=CC(C)C(C)(C)CC,126.141,3.245,0.509,True
CCCC,58.078,1.806,0.431,True
CCC(C)(CC)C(C)C,128.157,3.469,0.546,True
CCCC(C)(C)CC,114.141,3.223,0.528,True
CCC(C)C,72.094,2.052,0.444,True
CCC(C)C(C)(O)CC,130.136,2.194,0.621,True
CCC(C)C(C)CC,114.141,3.079,0.529,True
CCCCCC,86.11,2.587,0.463,True
CC1CC=CC1,82.078,1.972,0.392,True
CCC1(C)OCCC1C,128.12,2.212,0.526,True
C=C,28.031,0.802,0.344,True
CC=CC,56.063,1.582,0.37,True
COC(C)C,74.073,1.041,0.451,True
CCC1(C)CCCC1,112.125,2.977,0.489,True
CCC(C)(CCO)C(C)C,144.151,2.441,0.642,True
CC=C(C)C(C)CCC,126.141,3.389,0.508,True
CC1CCCC1(C)C,112.125,2.833,0.452,True
OC=CO,60.021,0.574,0.401,True
CC12CCCCC1(C)CC2,138.141,3.367,0.481,True
C=CC(CC)C(C)C,112.125,2.855,0.492,True
COC1=CC1C1(C)CCC1C,152.12,2.583,0.591,True
CCC1(C)CC(C)C1C,126.141,3.079,0.506,True
C=CO,44.026,0.688,0.396,True
C=C(C)C(C)C(C)C,112.125,2.855,0.482,True
CC(C)C(C)CCO,116.12,1.661,0.594,True
CCC(C)(C)C1(CC)CC1,140.157,3.613,0.561,True
C=C1CC1(CC)CC,110.11,2.753,0.479,True
CC1CCOC1(C)C,114.104,1.821,0.466,True
CCCCC(C)CC,114.141,3.223,0.526,True
CCC1(CC)CC1,98.11,2.587,0.498,True
CCC(C)(C)C(C)C,114.141,3.079,0.517,True
C=CC=C=CC,80.063,1.904,0.333,True
CCC1(C)CCCC1(C)C,140.157,3.613,0.522,True
CCC(C)C(C)(C)CCO,144.151,2.441,0.642,True
CCC(C)(C)C(C)(CC)CC,156.188,4.249,0.571,True
CCC(CC)CC,100.125,2.833,0.511,True
CCC1CC1C,84.094,2.052,0.456,True
CC=CC=C(C)C1(C(C)C)CC1,164.157,3.945,0.554,True
CCC1(C(C)C)CC1,112.125,2.833,0.515,True
CCC(C)(C)C(C)(C)CCO,158.167,2.831,0.667,True
CCC(C)C(C)CCO,130.136,2.051,0.617,True
CCC(C)OC,88.089,1.431,0.496,True
CCC1CC1,70.078,1.806,0.441,True
CCC1(C)C2CCC21C,124.125,2.833,0.504,True
CC(O)C1CC1,86.073,0.777,0.5,True
CCC(C)(C)C(C)(C)O,130.136,2.194,0.607,True
CC1CC2(C)CC1CC2C,138.141,3.079,0.482,True
CCC(C)(O)C(C)C,116.12,1.803,0.583,True
CCC(C)C(C)O,102.104,1.413,0.559,True
CCCC(CC)C(C)(C)CC,156.188,4.249,0.558,True
