SMILES,Peso Molecular,LogP,QED,Lipinski
CN=C(C)CC1CC1C,125.12,2.123,0.501,True
CC1CC1C1C(=N)C1C1CC1,149.12,2.318,0.623,True
CC1CN=C(CC2CC2C)C1,151.136,2.513,0.575,True
CC(=N)CC1CC1C,111.105,2.072,0.527,True
CC(C)CC(=N)CC1CC1C,153.152,3.098,0.6,True
CC1CC1CC1=NCCC1,137.12,2.267,0.553,True
CC=C(C)CC1CC1C,124.125,2.999,0.496,True
CCCC(CC1CC1C)=NC,153.152,2.903,0.551,True
CC1CC1C1C(=N)C1C1(N)CC1,164.131,1.399,0.636,True
CCC(=N)CC1CC1C,125.12,2.462,0.56,True
CC1=NCC(C)C2C(CN)C2C1,166.147,1.308,0.626,True
CCC(CC1CC1C)=NC,139.136,2.513,0.533,True
CC1CC1C,70.078,1.662,0.406,True
CCCN=C(C)CC1CC1C,153.152,2.903,0.551,True
CC1C2CC(=N)CC12,109.089,1.682,0.489,True
CC1CC1CC(=N)CC1(N)CC1,166.147,1.934,0.616,True
CC=C(CC)CC1CC1C,138.141,3.389,0.524,True
N=C(CC1CC1)CC1CC1CN,166.147,1.791,0.601,True
CC1(C)B=C2CC3CC3CNC1C2,175.153,1.463,0.549,True
CC=C(C)N,71.073,0.869,0.45,True
CCCC(=N)CC1CC1C,139.136,2.852,0.579,True
CCN=C(C)CC1CC1C,139.136,2.513,0.533,True
CC1CC1CC(=N)CC(C)(C)N,168.163,2.18,0.621,True
CC(C)C,58.078,1.662,0.397,True
BC1CC12N1CC3CC3C3C(=N)C312,172.117,-0.096,0.401,True
N=C1C2C34CC3C3NC5(CC125)C34,158.084,0.386,0.525,True
CC1CC1CC(=N)CC1CC1,151.136,2.852,0.597,True
CCC,44.063,1.416,0.385,True
CC1CC1C1C(=N)C1C(C)(C)N,166.147,1.645,0.643,True
CC(C)C1C(=N)C1C1CC1C,151.136,2.564,0.627,True
CC1CC1C1C(=N)C12C1CC12,147.105,1.928,0.586,True
CC1CC1C1CC1=N,109.089,1.682,0.529,True
CC1CN=C(CC2CC2CN)C1,166.147,1.452,0.677,True
CC(C)CC(=N)CC1CC1CN,168.163,2.037,0.606,True
CC1CC1C1C(=N)C12NC1CC12,162.116,1.022,0.593,True
CC1CC1C1(C)C(=N)CC2(C)CN21,178.147,1.899,0.61,True
CC1CC1C1C(=N)C1C12CC1N2,162.116,1.022,0.585,True
C1CC1,42.047,1.17,0.381,True
CC1CCC(CC2CC2CN)=N1,166.147,1.595,0.679,True
CC1CC1C1C2=NCC(C)(N)C21,164.131,1.06,0.618,True
CC1CC2C(C)C2C2C(=N)C12,149.12,2.174,0.546,True
CCC(C)C(=N)CC1CC1C,153.152,3.098,0.6,True
CC=C(C)C,70.078,1.972,0.382,True
CC1CC1CC1=NC2CC2C1,149.12,2.266,0.571,True
CCN,45.058,-0.035,0.406,True
N=C1C2C34CC23C12C1CC1CN42,158.084,0.483,0.545,True
CC1CC1,56.063,1.416,0.393,True
N=C1C2C3CC3CNC3(CC3N)C12,177.127,-0.039,0.486,True
CCC(CC1CC1C)=C(C)N,153.152,2.675,0.662,True
CCCN=C(CN)CC1CC1C,168.163,1.842,0.625,True
CC1CC1CC1=NC23CC2C13,147.105,1.876,0.565,True
N=C1C2C3CC34C35NC6C(C12N3)C654,171.08,-0.704,0.451,True
CC12CC1C1C(=N)C1(N)C1(CC1)N2,177.127,0.248,0.496,True
CCCC1CC1C,98.11,2.443,0.497,True
