SMILES,Peso Molecular,LogP,QED,Lipinski
BC(C)C(N)COC(O)O,147.107,-1.96,0.318,True
BC1COC(O)(O)OCC1(C)O,176.086,-2.198,0.288,True
BC1(C)CC12OC2OC(O)(O)O,174.07,-2.098,0.254,True
BC(C)C(C)(O)COC(O)(O)O,178.101,-2.216,0.289,True
CC12BC1C2(O)COC(O)(O)O,174.07,-2.247,0.286,True
BC(C)C(B)COC(O)O,144.113,-1.866,0.359,True
BC(C)C(O)COC(O)O,148.091,-1.926,0.321,True
BC1CC(OC(O)(O)O)C1(C)O,176.086,-2.464,0.276,True
BC1(COC(O)(O)O)CC12BC2,170.092,-2.186,0.332,True
BC(C)C(B)(C)COC(O)O,158.129,-1.476,0.387,True
BC(C)C(C)(O)COC(O)O,162.106,-1.536,0.346,True
BC(C)C(B)(C)COC(O)(O)O,174.123,-2.156,0.335,True
CC12BOC(O)(O)OCC1(O)C2,174.07,-1.706,0.301,True
BC12COC(O)(OCC1(C)O)O2,174.07,-2.253,0.406,True
CC1BOC2(O)OCC1(O)CO2,174.07,-1.442,0.44,True
BC12COC(O)(O)OC3C1C32O,172.054,-2.836,0.271,True
BC1(C)C2OC21COC(O)(O)O,174.07,-2.446,0.251,True
CC1BOC(O)(O)OCC1(C)O,176.086,-1.46,0.31,True
BC12COC(O)(O)OCC1(O)C2,174.07,-2.444,0.28,True
BC1(C)CC1(O)COC(O)(O)O,176.086,-2.462,0.283,True
BC(C)C(C)(O)C1OC(O)(O)O1,176.086,-1.852,0.34,True
BC(C)C(O)COC(O)(O)O,164.086,-2.606,0.27,True
BC(C)C1(O)COC(O)(O)OC1,176.086,-2.198,0.312,True
BC1(C)OC(O)(O)OCC1(C)O,176.086,-2.271,0.286,True
BC(C)C(B)COC(O)(O)O,160.108,-2.546,0.312,True
BC(C)C(C)(N)COC(O)O,161.122,-1.57,0.344,True
BC(C)C(C)(O)COC1(O)OO1,176.086,-1.239,0.242,True
CC(O)(COC(O)(O)O)C1BC1,176.086,-2.001,0.293,True
OCC1(O)COC23OCC1B(O2)O3,188.049,-1.713,0.477,True
BC1(C)CC1(B)COC(O)(O)O,172.108,-2.402,0.327,True
BC(CO)C(C)(N)COC(O)O,177.117,-2.597,0.273,True
BC(B)C(N)COC(O)O,145.108,-3.389,0.284,True
BC1COC(O)(O)OCC12CO2,174.07,-2.18,0.248,True
BC1COC2(O)OBC1(C)CO2,170.092,-1.381,0.455,True
BC1C(O)OC1(C)COC(O)(O)O,192.081,-2.88,0.283,True
BC1(C)CC1(O)C1OC(O)(O)O1,174.07,-2.098,0.313,True
