SMILES,Peso Molecular,LogP,QED,Lipinski
NCCCC(=O)O,103.063,-0.19,0.52,True
O=CO,46.005,-0.299,0.38,True
CCC(=O)O,74.037,0.481,0.491,True
CC(=O)CCCO,102.068,0.348,0.558,True
CC(=O)O,60.021,0.091,0.43,True
CC(=O)CCCN,101.084,0.314,0.556,True
C1=CCN=1,53.027,0.226,0.374,True
O=C(O)CCCO,104.047,-0.157,0.523,True
CN=C(CCO)C(C)=O,129.079,0.029,0.546,True
CN=C1C(C)OC1CO,129.079,-0.163,0.534,True
C#N,27.011,0.14,0.37,True
CN=C(CC(C)C)C(C)=O,141.115,1.692,0.55,True
O=CC=O,58.005,-0.616,0.297,True
CN=C1C(C)=NC1C(C)C,138.116,1.556,0.525,True
C=O,30.011,-0.185,0.361,True
CN=C1C(C)=NC1CO,126.079,-0.107,0.523,True
CCCCC(C)=O,100.089,1.766,0.528,True
CCCCC(=O)O,102.068,1.261,0.582,True
CN=C1C(C)NC1C(C)C,140.131,1.074,0.579,True
CN=C(CC(C)C)C(C)O,143.131,1.484,0.596,True
CC(C)CCC(C)O,116.12,1.803,0.596,True
CCC(C)=O,72.058,0.985,0.451,True
CCCC(=NC)C(C)=O,127.1,1.446,0.527,True
CN=C(CCO)C(C)O,131.095,-0.18,0.522,True
CN=C(CC(C)C)C(C)N,142.147,1.451,0.595,True
